8.710 sweats  [n.5-18-2011 = 3676, n4 = 7, 8.75069 17.461]
3.719 ignorant  [n.5-18-2011 = 2, n4 = 21, 19.5946 15.8761]
3.719 griffin  [n.5-18-2011 = 2, n4 = 21, 19.5946 15.8761]
3.702 horrible  [n.5-18-2011 = 1436, n4 = 88, 10.1068 13.809]
3.674 chloe  [n.5-18-2011 = 96, n4 = 6, 14.0097 17.6834]
3.648 sheets  [n.5-18-2011 = 2, n4 = 20, 19.5946 15.9465]
3.643 fascinated  [n.5-18-2011 = 94, n4 = 6, 14.04 17.6834]
3.612 lay  [n.5-18-2011 = 1012, n4 = 66, 10.6116 14.224]
3.600 seth  [n.5-18-2011 = 152, n4 = 10, 13.3467 16.9465]
3.596 sick  [n.5-18-2011 = 4170, n4 = 275, 8.56878 12.1651]
3.572 emma  [n.5-18-2011 = 164, n4 = 11, 13.2371 16.809]
3.562 tweeps  [n.5-18-2011 = 918, n4 = 62, 10.7523 14.3142]
3.539 ava  [n.5-18-2011 = 102, n4 = 7, 13.9222 17.461]
3.522 worse  [n.5-18-2011 = 2030, n4 = 141, 9.60735 13.1289]
3.504 nathan  [n.5-18-2011 = 128, n4 = 9, 13.5946 17.0985]
3.496 wifey  [n.5-18-2011 = 2, n4 = 18, 19.5946 16.0985]
3.496 twitterstake  [n.5-18-2011 = 2, n4 = 18, 19.5946 16.0985]
3.496 sorted  [n.5-18-2011 = 2, n4 = 18, 19.5946 16.0985]
3.496 float  [n.5-18-2011 = 2, n4 = 18, 19.5946 16.0985]
3.448 depressing  [n.5-18-2011 = 684, n4 = 50, 11.1768 14.6245]
3.440 suffering  [n.5-18-2011 = 626, n4 = 46, 11.3046 14.7448]
3.434 masterchef  [n.5-18-2011 = 58, n4 = 500, 14.7366 11.3026]
3.414 thn  [n.5-18-2011 = 2, n4 = 17, 19.5946 16.1809]
3.414 northman  [n.5-18-2011 = 2, n4 = 17, 19.5946 16.1809]
3.414 msp  [n.5-18-2011 = 2, n4 = 17, 19.5946 16.1809]
3.414 momento  [n.5-18-2011 = 2, n4 = 17, 19.5946 16.1809]
3.414 dumbest  [n.5-18-2011 = 2, n4 = 17, 19.5946 16.1809]
3.414 badd  [n.5-18-2011 = 2, n4 = 17, 19.5946 16.1809]
3.332 wasn  [n.5-18-2011 = 1528, n4 = 121, 10.0172 13.3495]
3.326 tablets  [n.5-18-2011 = 2, n4 = 16, 19.5946 16.2684]
3.326 hyper  [n.5-18-2011 = 2, n4 = 16, 19.5946 16.2684]
3.326 hydrant  [n.5-18-2011 = 2, n4 = 16, 19.5946 16.2684]
3.326 hora  [n.5-18-2011 = 2, n4 = 16, 19.5946 16.2684]
3.326 drills  [n.5-18-2011 = 2, n4 = 16, 19.5946 16.2684]
3.313 dylan  [n.5-18-2011 = 162, n4 = 13, 13.2548 16.568]
3.295 samuel  [n.5-18-2011 = 160, n4 = 13, 13.2727 16.568]
3.233 yoo  [n.5-18-2011 = 2, n4 = 15, 19.5946 16.3615]
3.233 supper  [n.5-18-2011 = 2, n4 = 15, 19.5946 16.3615]
3.233 sins  [n.5-18-2011 = 2, n4 = 15, 19.5946 16.3615]
3.233 nunca  [n.5-18-2011 = 2, n4 = 15, 19.5946 16.3615]
3.233 mideast  [n.5-18-2011 = 2, n4 = 15, 19.5946 16.3615]
3.233 lovee  [n.5-18-2011 = 2, n4 = 15, 19.5946 16.3615]
3.233 improved  [n.5-18-2011 = 2, n4 = 15, 19.5946 16.3615]
3.233 fema  [n.5-18-2011 = 2, n4 = 15, 19.5946 16.3615]
3.233 dah  [n.5-18-2011 = 4, n4 = 30, 18.5946 15.3615]
3.233 bulls  [n.5-18-2011 = 2, n4 = 15, 19.5946 16.3615]
3.196 these  [n.5-18-2011 = 6502, n4 = 566, 7.92795 11.1237]
3.184 yuh  [n.5-18-2011 = 4, n4 = 29, 18.5946 15.4104]
3.184 bmw  [n.5-18-2011 = 4, n4 = 29, 18.5946 15.4104]
3.167 makes  [n.5-18-2011 = 5912, n4 = 525, 8.06518 11.2322]
3.159 bargain  [n.5-18-2011 = 112, n4 = 10, 13.7873 16.9465]
3.158 lose  [n.5-18-2011 = 1544, n4 = 138, 10.0022 13.1599]
3.147 goodbye  [n.5-18-2011 = 544, n4 = 49, 11.5072 14.6537]
3.134 sumone  [n.5-18-2011 = 2, n4 = 14, 19.5946 16.461]
3.134 smokes  [n.5-18-2011 = 2, n4 = 14, 19.5946 16.461]
3.134 shops  [n.5-18-2011 = 2, n4 = 14, 19.5946 16.461]
3.134 shed  [n.5-18-2011 = 2, n4 = 14, 19.5946 16.461]
3.134 photoshop  [n.5-18-2011 = 2, n4 = 14, 19.5946 16.461]
3.134 kathy  [n.5-18-2011 = 2, n4 = 14, 19.5946 16.461]
3.134 impress  [n.5-18-2011 = 2, n4 = 14, 19.5946 16.461]
3.134 expanding  [n.5-18-2011 = 2, n4 = 14, 19.5946 16.461]
3.134 entrance  [n.5-18-2011 = 2, n4 = 14, 19.5946 16.461]
3.134 elevator  [n.5-18-2011 = 2, n4 = 14, 19.5946 16.461]
3.134 depois  [n.5-18-2011 = 2, n4 = 14, 19.5946 16.461]
3.134 buses  [n.5-18-2011 = 2, n4 = 14, 19.5946 16.461]
3.134 afta  [n.5-18-2011 = 2, n4 = 14, 19.5946 16.461]
3.104 filled  [n.5-18-2011 = 884, n4 = 82, 10.8067 13.9109]
3.067 health  [n.5-18-2011 = 2910, n4 = 277, 9.08781 12.1547]
3.039 nicholas  [n.5-18-2011 = 134, n4 = 13, 13.5285 16.568]
3.039 elizabeth  [n.5-18-2011 = 134, n4 = 13, 13.5285 16.568]
3.027 waldo  [n.5-18-2011 = 2, n4 = 13, 19.5946 16.568]
3.027 summers  [n.5-18-2011 = 2, n4 = 13, 19.5946 16.568]
3.027 strive  [n.5-18-2011 = 2, n4 = 13, 19.5946 16.568]
3.027 reid  [n.5-18-2011 = 2, n4 = 13, 19.5946 16.568]
3.027 rant  [n.5-18-2011 = 2, n4 = 13, 19.5946 16.568]
3.027 packer  [n.5-18-2011 = 4, n4 = 26, 18.5946 15.568]
3.027 novelist  [n.5-18-2011 = 2, n4 = 13, 19.5946 16.568]
3.027 funnier  [n.5-18-2011 = 2, n4 = 13, 19.5946 16.568]
3.027 expense  [n.5-18-2011 = 2, n4 = 13, 19.5946 16.568]
3.027 deodorant  [n.5-18-2011 = 2, n4 = 13, 19.5946 16.568]
3.027 collins  [n.5-18-2011 = 2, n4 = 13, 19.5946 16.568]
3.027 chose  [n.5-18-2011 = 4, n4 = 26, 18.5946 15.568]
3.027 antes  [n.5-18-2011 = 2, n4 = 13, 19.5946 16.568]
3.027 ander  [n.5-18-2011 = 2, n4 = 13, 19.5946 16.568]
3.027 ag  [n.5-18-2011 = 2, n4 = 13, 19.5946 16.568]
3.008 staying  [n.5-18-2011 = 696, n4 = 69, 11.1517 14.1599]
