9.416 chills  [n.5-20-2011 = 8894, n4 = 9, 7.68264 17.0985]
   3.511 worse  [n.5-20-2011 = 2326, n4 = 141, 9.61762 13.1289]
   3.491 minute  [n.5-20-2011 = 1822, n4 = 112, 9.96995 13.461]
   3.489 toilet  [n.5-20-2011 = 796, n4 = 49, 11.1646 14.6537]
   3.484 alexander  [n.5-20-2011 = 340, n4 = 21, 12.3919 15.8761]
   3.440 trashed  [n.5-20-2011 = 2, n4 = 15, 19.8013 16.3615]
   3.440 tosh  [n.5-20-2011 = 2, n4 = 15, 19.8013 16.3615]
   3.440 stressing  [n.5-20-2011 = 2, n4 = 15, 19.8013 16.3615]
   3.440 reasonable  [n.5-20-2011 = 2, n4 = 15, 19.8013 16.3615]
   3.440 neediest  [n.5-20-2011 = 2, n4 = 15, 19.8013 16.3615]
   3.440 ily  [n.5-20-2011 = 2, n4 = 15, 19.8013 16.3615]
   3.440 dum  [n.5-20-2011 = 2, n4 = 15, 19.8013 16.3615]
   3.440 dormir  [n.5-20-2011 = 2, n4 = 15, 19.8013 16.3615]
   3.440 aus  [n.5-20-2011 = 2, n4 = 15, 19.8013 16.3615]
   3.438 headed  [n.5-20-2011 = 1160, n4 = 74, 10.6213 14.059]
   3.434 ashley  [n.5-20-2011 = 344, n4 = 22, 12.375 15.809]
   3.430 killing  [n.5-20-2011 = 3664, n4 = 235, 8.96205 12.3919]
   3.427 ouch  [n.5-20-2011 = 358, n4 = 23, 12.3174 15.7448]
   3.378 everywhere  [n.5-20-2011 = 1068, n4 = 71, 10.7406 14.1187]
   3.374 mia  [n.5-20-2011 = 330, n4 = 22, 12.4349 15.809]
   3.358 temp  [n.5-20-2011 = 608, n4 = 41, 11.5533 14.9109]
   3.357 stomach  [n.5-20-2011 = 1794, n4 = 121, 9.99229 13.3495]
   3.340 wrapping  [n.5-20-2011 = 2, n4 = 14, 19.8013 16.461]
   3.340 theft  [n.5-20-2011 = 2, n4 = 14, 19.8013 16.461]
   3.340 takers  [n.5-20-2011 = 2, n4 = 14, 19.8013 16.461]
   3.340 sumone  [n.5-20-2011 = 2, n4 = 14, 19.8013 16.461]
   3.340 saab  [n.5-20-2011 = 2, n4 = 14, 19.8013 16.461]
   3.340 overtime  [n.5-20-2011 = 2, n4 = 14, 19.8013 16.461]
   3.340 martha  [n.5-20-2011 = 2, n4 = 14, 19.8013 16.461]
   3.340 lds  [n.5-20-2011 = 8, n4 = 56, 17.8013 14.461]
   3.340 indie  [n.5-20-2011 = 2, n4 = 14, 19.8013 16.461]
   3.340 gong  [n.5-20-2011 = 2, n4 = 14, 19.8013 16.461]
   3.340 gloves  [n.5-20-2011 = 2, n4 = 14, 19.8013 16.461]
   3.340 freezer  [n.5-20-2011 = 2, n4 = 14, 19.8013 16.461]
   3.329 masterchef  [n.5-20-2011 = 72, n4 = 500, 14.6313 11.3026]
   3.323 matthew  [n.5-20-2011 = 362, n4 = 25, 12.3014 15.6245]
   3.318 hospital  [n.5-20-2011 = 1154, n4 = 80, 10.6288 13.9465]
   3.282 stand  [n.5-20-2011 = 2406, n4 = 171, 9.56883 12.8506]
   3.233 yourselves  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 vh  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 ty  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 subtle  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 strive  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 stevie  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 somethings  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 siempre  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 scheme  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 peas  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 monte  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 marked  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 lined  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 laten  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 lanes  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 immune  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 hadn  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 gratitude  [n.5-20-2011 = 6, n4 = 39, 18.2163 14.983]
   3.233 fica  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 emirates  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 dgn  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 broad  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.233 architect  [n.5-20-2011 = 2, n4 = 13, 19.8013 16.568]
   3.218 christopher  [n.5-20-2011 = 350, n4 = 26, 12.35 15.568]
   3.141 hopefully  [n.5-20-2011 = 1672, n4 = 131, 10.0939 13.235]
   3.136 has  [n.5-20-2011 = 22493, n4 = 1769, 6.34406 9.47969]
   3.123 butt  [n.5-20-2011 = 378, n4 = 30, 12.239 15.3615]
   3.118 wayyy  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 volta  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 unto  [n.5-20-2011 = 4, n4 = 24, 18.8013 15.6834]
   3.118 tzu  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 tir  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 testimony  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 terrified  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 tease  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 surrounded  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 sneeze  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 sincere  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 operating  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 nan  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 mushrooms  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 lyfe  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 lucy  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 liver  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 getwelldemi  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 fergie  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 eppd  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 elses  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 dot  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 defined  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 decorating  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 counsel  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 consumers  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 comer  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 clearing  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 candle  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 brigade  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 biking  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.118 bankruptcy  [n.5-20-2011 = 2, n4 = 12, 19.8013 16.6834]
   3.099 andrew  [n.5-20-2011 = 372, n4 = 30, 12.2621 15.3615]
   3.080 lauren  [n.5-20-2011 = 318, n4 = 26, 12.4884 15.568]
   3.078 ldsconf  [n.5-20-2011 = 148, n4 = 864, 13.5918 10.5135]
   3.070 wish  [n.5-20-2011 = 5382, n4 = 443, 8.40733 11.4772]
   3.065 ghost  [n.5-20-2011 = 14, n4 = 81, 16.9939 13.9286]
   3.056 yhu  [n.5-20-2011 = 4, n4 = 23, 18.8013 15.7448]
   3.056 tix  [n.5-20-2011 = 4, n4 = 23, 18.8013 15.7448]
   3.056 advent  [n.5-20-2011 = 4, n4 = 23, 18.8013 15.7448]
   3.026 down  [n.5-20-2011 = 13580, n4 = 1152, 7.07206 10.0985]
   3.025 severe  [n.5-20-2011 = 106, n4 = 9, 14.0733 17.0985]
